thread_id,neutral,oppose,support,w_total,support_rate,oppose_rate,neutral_rate,controversy,resonance
UgwN_M6CnGfgmkF6LmZ4AaABAg,6.0,0.0,0.0,6.0,0.0,0.0,0.9999999998333333,1.0,0.0
UgwNbHZ3AG9qrtUHkXt4AaABAg,37.0,4.0,0.0,41.0,0.0,0.09756097560737657,0.9024390243682333,0.9024390243926235,0.0
UgwNlmJBaooN5vAIZ854AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwNuccU-ajdOlYzOpF4AaABAg,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
UgwO0DPj4uYxBJcOa7N4AaABAg,22.0,0.0,0.0,22.0,0.0,0.0,0.9999999999545455,1.0,0.0
UgwO0fRXELRF-jScIv94AaABAg,13.0,4.0,0.0,17.0,0.0,0.235294117633218,0.7647058823079584,0.764705882366782,0.0
UgwO6sLjbAfwJxYrfxp4AaABAg,137.0,0.0,24.0,161.0,0.1490683229804406,0.0,0.8509316770133483,0.8509316770195594,0.1490683229804406
UgwODkMjIrObGVGcFAl4AaABAg,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
UgwOHGJBLbjKcZhB2UR4AaABAg,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
UgwOOuRUNYl8xGnGwDZ4AaABAg,26.0,0.0,0.0,26.0,0.0,0.0,0.9999999999615384,1.0,0.0
UgwOPMNt0iyuayjMSwB4AaABAg,0.0,0.0,1.0,1.0,0.9999999989999999,0.0,0.0,1.000000082740371e-09,0.9999999989999999
UgwORvKLuXqm7mKOafh4AaABAg,23.0,0.0,0.0,23.0,0.0,0.0,0.9999999999565218,1.0,0.0
UgwOSdfFnKyTqmDBIxZ4AaABAg,138.0,2.0,3.0,143.0,0.020979020978874274,0.013986013985916182,0.9650349650282166,0.9930069930070419,0.020979020978874274
UgwOVcguDyiMD4NfIVV4AaABAg,11.0,1.0,1.0,13.0,0.07692307691715976,0.07692307691715976,0.8461538460887574,1.0,0.07692307691715976
UgwOefx-Tgo9MOpS-I14AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwOhQI4Ndcd08Ey95B4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwP75WOumKEX9iD0Ul4AaABAg,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
UgwPA_gq6d2PySdE17R4AaABAg,25.0,1.0,0.0,26.0,0.0,0.038461538460059175,0.9615384615014793,0.9615384615399408,0.0
UgwPMYAbIjrzPrMePZp4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwPR5McvczBP5AB0VV4AaABAg,11.0,0.0,0.0,11.0,0.0,0.0,0.9999999999090909,1.0,0.0
UgwPXEu-eZJUnL7rh614AaABAg,43.0,6.0,0.0,49.0,0.0,0.12244897958933779,0.8775510203902541,0.8775510204106622,0.0
UgwP_uPeOnU7r1aRd2N4AaABAg,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UgwPkOJ6TAUu9G0Dk214AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwQ95WMYhF2K1NgolF4AaABAg,0.0,2.0,0.0,2.0,0.0,0.9999999995,0.0,5.000000413701855e-10,0.0
UgwQBE_YZZtzTanEQU54AaABAg,227.0,36.0,10.0,273.0,0.036630036629902454,0.13186813186764884,0.8315018314987858,0.9047619047622536,0.036630036629902454
UgwQC0FmCIcp2VQuXKx4AaABAg,1.0,1.0,0.0,2.0,0.0,0.49999999975,0.49999999975,0.50000000025,0.0
UgwQMjRvHACL7v2NE-l4AaABAg,11.0,0.0,4.0,15.0,0.2666666666488889,0.0,0.7333333332844444,0.7333333333511112,0.2666666666488889
UgwQWGKw9-r9kbnSeJZ4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwQckj-xSbbb-9LV4F4AaABAg,0.0,2.0,0.0,2.0,0.0,0.9999999995,0.0,5.000000413701855e-10,0.0
UgwQgOvvnBZfuZp0Tq14AaABAg,16.0,0.0,0.0,16.0,0.0,0.0,0.9999999999375,1.0,0.0
UgwQjc7_5L1KYlBaFjV4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwQyMeSydexOA_-GCh4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwR1gfLxbEAmO2WTbh4AaABAg,4.0,34.0,0.0,38.0,0.0,0.8947368420817176,0.10526315789196677,0.10526315791828245,0.0
UgwR5lXiZmyk-SJlLJB4AaABAg,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
UgwRcb9iVhErTJwxzdd4AaABAg,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UgwRd9hAZRErUq2QiLx4AaABAg,5.0,0.0,0.0,5.0,0.0,0.0,0.9999999998,1.0,0.0
UgwRltNm-aOPWFLZmzN4AaABAg,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
UgwRqBHrYJ383bj6zMF4AaABAg,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UgwRqfuxl7FH1y1Zelp4AaABAg,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UgwS-0WeW4lKzC-eeRl4AaABAg,13.0,0.0,0.0,13.0,0.0,0.0,0.9999999999230769,1.0,0.0
